epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0238,1.07685,3.14052,1.30423,0.51581,0.37681,0.3411,0.23299,1.11295,2.0872,1.36461,0.00332384,0.00332384,0.00332384
2,262.032,1.08588,1.85727,1.29797,0.57605,0.43893,0.43463,0.29138,1.10061,1.833,1.34108,0.00659126,0.00659126,0.00659126
3,338.811,1.10185,1.71133,1.30521,0.48785,0.42191,0.39127,0.23872,1.20211,2.11198,1.41739,0.00979269,0.00979269,0.00979269
4,413.903,1.14282,1.67862,1.32733,0.5648,0.52177,0.5313,0.34159,1.16313,1.54711,1.35989,0.009703,0.009703,0.009703
5,489.01,1.11226,1.51127,1.30896,0.57101,0.57665,0.58792,0.38001,1.1412,1.58375,1.382,0.009604,0.009604,0.009604
6,563.897,1.09715,1.39188,1.29766,0.63073,0.59307,0.60736,0.40245,1.1126,1.56553,1.3147,0.009505,0.009505,0.009505
7,638.531,1.07373,1.29132,1.2808,0.7276,0.66576,0.74103,0.49748,1.07039,1.16746,1.29213,0.009406,0.009406,0.009406
8,713.046,1.0659,1.22937,1.2755,0.72391,0.64988,0.72039,0.50019,1.04943,1.12809,1.27422,0.009307,0.009307,0.009307
9,787.644,1.04495,1.17968,1.26645,0.73479,0.73242,0.78584,0.55051,1.03475,1.01551,1.25312,0.009208,0.009208,0.009208
10,862.483,1.03723,1.13272,1.25757,0.70311,0.66096,0.70839,0.48334,1.03556,1.27788,1.28042,0.009109,0.009109,0.009109
11,936.909,1.02928,1.09389,1.24847,0.77049,0.71918,0.79703,0.56092,1.02028,0.97739,1.24657,0.00901,0.00901,0.00901
12,1011.49,1.0142,1.06997,1.24355,0.75854,0.74824,0.80223,0.56229,1.00109,0.90514,1.23313,0.008911,0.008911,0.008911
13,1085.97,1.00607,1.03974,1.24169,0.78963,0.7536,0.8246,0.58407,0.99804,0.89187,1.23545,0.008812,0.008812,0.008812
14,1160.4,0.99817,1.01815,1.23326,0.79527,0.72713,0.8286,0.59518,0.98063,0.88055,1.22695,0.008713,0.008713,0.008713
15,1235.13,0.99165,0.99726,1.23211,0.73975,0.71651,0.76936,0.54564,1.00076,0.98477,1.23083,0.008614,0.008614,0.008614
16,1309.63,0.99636,0.98767,1.22735,0.82047,0.7707,0.85041,0.61392,0.96568,0.79823,1.2005,0.008515,0.008515,0.008515
17,1384.29,0.97387,0.96439,1.22199,0.80238,0.80626,0.85863,0.62872,0.9493,0.78565,1.1958,0.008416,0.008416,0.008416
18,1458.87,0.9743,0.95368,1.22147,0.82409,0.79177,0.86088,0.62819,0.94577,0.80724,1.19403,0.008317,0.008317,0.008317
19,1533.53,0.96809,0.9349,1.21684,0.81831,0.8001,0.85425,0.61294,0.97137,0.80521,1.20381,0.008218,0.008218,0.008218
20,1607.8,0.96256,0.92413,1.20847,0.81091,0.8041,0.86909,0.63859,0.95071,0.76962,1.18751,0.008119,0.008119,0.008119
21,1681.94,0.95501,0.90612,1.20731,0.83067,0.80107,0.86618,0.63509,0.94238,0.7512,1.19173,0.00802,0.00802,0.00802
22,1755.98,0.95176,0.89691,1.20542,0.84243,0.8062,0.87457,0.6464,0.93517,0.74135,1.17722,0.007921,0.007921,0.007921
23,1830.16,0.95234,0.89211,1.20188,0.82376,0.8133,0.87482,0.64679,0.92665,0.7299,1.17389,0.007822,0.007822,0.007822
24,1904.36,0.9458,0.87757,1.197,0.84126,0.82521,0.8856,0.65382,0.93018,0.72477,1.17525,0.007723,0.007723,0.007723
25,1978.65,0.94041,0.86989,1.19454,0.85605,0.81917,0.89002,0.66303,0.91621,0.70831,1.16452,0.007624,0.007624,0.007624
26,2052.74,0.92723,0.85488,1.18934,0.85267,0.83595,0.89902,0.67106,0.92663,0.68925,1.1671,0.007525,0.007525,0.007525
27,2126.85,0.93417,0.84685,1.18887,0.8468,0.8039,0.88014,0.6589,0.92527,0.73998,1.15794,0.007426,0.007426,0.007426
28,2200.88,0.93538,0.83836,1.18845,0.85977,0.83303,0.89894,0.6745,0.90696,0.68813,1.16374,0.007327,0.007327,0.007327
29,2274.82,0.92328,0.83432,1.18575,0.86516,0.81832,0.89481,0.67392,0.90591,0.68999,1.15131,0.007228,0.007228,0.007228
30,2349,0.92132,0.82153,1.18437,0.84873,0.84948,0.90114,0.68045,0.89943,0.66543,1.15015,0.007129,0.007129,0.007129
31,2423.1,0.91255,0.81798,1.18372,0.84592,0.85584,0.90749,0.68662,0.89661,0.6503,1.14904,0.00703,0.00703,0.00703
32,2497.13,0.91233,0.811,1.17843,0.87424,0.84384,0.90768,0.6891,0.88976,0.64212,1.14173,0.006931,0.006931,0.006931
33,2571.35,0.90198,0.80207,1.17015,0.8447,0.86299,0.90806,0.68916,0.88717,0.6383,1.14245,0.006832,0.006832,0.006832
34,2645.42,0.90199,0.79829,1.1723,0.87548,0.84563,0.91351,0.68974,0.88979,0.63859,1.14355,0.006733,0.006733,0.006733
35,2719.56,0.90191,0.79372,1.17255,0.86532,0.85789,0.91435,0.69691,0.87701,0.62419,1.13741,0.006634,0.006634,0.006634
36,2793.64,0.90135,0.78643,1.16775,0.86996,0.85192,0.91085,0.69507,0.87694,0.62294,1.13336,0.006535,0.006535,0.006535
37,2867.67,0.89011,0.77553,1.1684,0.87447,0.85762,0.91583,0.70251,0.87038,0.61412,1.12961,0.006436,0.006436,0.006436
38,2941.74,0.88776,0.77088,1.16276,0.85655,0.85841,0.91372,0.69981,0.87188,0.62025,1.13081,0.006337,0.006337,0.006337
39,3015.79,0.88681,0.77338,1.16326,0.87095,0.85665,0.91807,0.70604,0.87127,0.61021,1.13321,0.006238,0.006238,0.006238
40,3089.91,0.887,0.76519,1.16292,0.87114,0.86103,0.91685,0.70539,0.86656,0.60456,1.127,0.006139,0.006139,0.006139
41,3164.19,0.88167,0.75491,1.15592,0.8777,0.8636,0.92155,0.71156,0.85983,0.60492,1.12578,0.00604,0.00604,0.00604
42,3238.3,0.88073,0.74878,1.15955,0.87298,0.86867,0.92197,0.7138,0.85535,0.60024,1.11869,0.005941,0.005941,0.005941
43,3312.6,0.87219,0.74263,1.15193,0.88105,0.86869,0.92015,0.7142,0.8545,0.59551,1.11502,0.005842,0.005842,0.005842
44,3387.09,0.88082,0.73924,1.15343,0.89701,0.86491,0.92305,0.7203,0.85157,0.58777,1.11236,0.005743,0.005743,0.005743
45,3461.41,0.86886,0.73938,1.15135,0.89553,0.86571,0.92455,0.7179,0.84787,0.58951,1.11223,0.005644,0.005644,0.005644
46,3535.75,0.86535,0.73013,1.14664,0.89524,0.8663,0.92545,0.72178,0.84794,0.58557,1.11001,0.005545,0.005545,0.005545
47,3609.78,0.86437,0.72198,1.14749,0.88168,0.87853,0.92493,0.72071,0.84971,0.58406,1.11623,0.005446,0.005446,0.005446
48,3683.62,0.86506,0.72457,1.14793,0.88259,0.87117,0.925,0.72398,0.84391,0.58188,1.11228,0.005347,0.005347,0.005347
49,3757.92,0.86605,0.71858,1.14334,0.88167,0.87485,0.9267,0.72567,0.8389,0.57724,1.10502,0.005248,0.005248,0.005248
50,3831.93,0.8531,0.7108,1.142,0.88657,0.87212,0.92685,0.72683,0.8384,0.57343,1.10496,0.005149,0.005149,0.005149
